observable,                       mnu+,                     om-,          om+,          As-,        As+
5z PS ($\ell_{max} \sim 5000$),   0.48419633,            0.2885422,  0.31020773,    1.99885392, 2.79525928    
5z PS $\ell_{max} \sim 2000$,           0.52041988,            0.28647678, 0.31368369,    1.96773234, 2.85941377    
5z PS $\ell_{max} \sim 5000$  ($\mathbf{fiducial}$),           0.48419633,            0.2885422,  0.31020773,    1.99885392, 2.79525928    
5z PS $\ell_{max} \sim 8000$,           0.45664599,            0.28890666, 0.30997914,    1.99562216, 2.73115763   
1z PS $\ell_{max} \sim 5000$,                            0.55333823,            0.27789704, 0.32731399,    1.8100404,  3.01899376   
5z Peaks 1 arcmin,                0.34131446,            0.29541177, 0.31173083,    2.00435391, 2.31611941    
5z Peaks 2 arcmin ($\mathbf{fiducial}$),                0.32298518,            0.29295161, 0.31188692,    1.99330061, 2.34096046    
5z Peaks 5 arcmin,                0.35548687,            0.28894937, 0.31425967,    1.94948302, 2.4626099     
1z Peaks 2 arcmin,                         0.53969428,            0.29232911, 0.32290445,    1.97904499, 2.52382504    
5z Low Peaks 2 arcmin,                        0.45414796,            0.28973073, 0.32402322,    1.90116907, 2.45394005    
5z Medium Peaks 2 arcmin,                     0.56101054,            0.28895009, 0.32249052,    1.93605112, 2.67159884    
5z High Peaks 2 arcmin,                       0.56379221,            0.28303407, 0.32003759,    1.93447978, 2.8603352      
Planck CMB Forecast,              0.62711018,            0.29543906, 0.30591796,    2.07052495, 2.12980194      
5z PS + Peaks,                    0.29506172,            0.29334579, 0.3088128,     2.02112874, 2.34358672 
PS + CMB,                         0.16297619,            0.297237449, 0.30467709,   2.07470555, 2.129672715  
Peaks + CMB,                      0.16371300,            0.297414317, 0.304732929,  2.074698922, 2.129525559 
PS + Peaks + CMB,                 0.16028753,            0.297501903, 0.304396072,  2.075819676, 2.129885851 
